times B04GusCalc B06GusCalc C01GusCalc C02GusCalc C03GusCalc C04GusCalc C05GusCalc C06GusCalc C07GusCalc C08GusCalc C09GusCalc C10GusCalc C11GusCalc C12GusCalc E01GusCalc E02GusCalc E03GusCalc E04GusCalc E05GusCalc E06GusCalc E07GusCalc E08GusCalc E09GusCalc E10GusCalc E11GusCalc E12GusCalc G01GusCalc G02GusCalc G03GusCalc G04GusCalc G05GusCalc G06GusCalc G07GusCalc G08GusCalc G09GusCalc G10GusCalc G11GusCalc G12GusCalc
502 1.5484853613132472 3.4613202194060895 12.664764378952741 64.72668810289387 104.0459104363195 119.81405483161278 128.8380303890045 133.64541958262407 135.87959045523775 132.39549839228295 119.40430951684975 93.64794149170925 45.27811416878942 14.236075095944404 16.646217634117438 68.13335589778305 111.72372485971886 130.2663310204772 140.37576445369143 142.87560683437357 144.9628415067822 140.5680600214362 124.56257568797766 100.87276067983463 47.11241409747177 14.805518099782176 15.1977172547433 69.75362534869359 114.93890675241157 136.77945529268965 146.12540192926042 150.37513397642013 153.25956749259186 147.68299602799314 132.68394174390016 110.18536031776051 52.15580239695996 16.047939199064597
552 1.9104689522695972 3.8459113548956587 13.936368251819264 70.92268052213538 113.23299204603146 130.26633102047728 140.95265115692575 146.72151818926926 147.88035200541546 145.76004035054535 129.91188875433247 102.10894647247966 48.33486449242076 14.995332434394774 17.8834878002648 74.1337366728719 122.3303435437468 140.760355589181 152.49038522161274 155.18252317003976 158.21213347245583 151.309141019752 134.957991909553 109.46987096504785 50.1891431813883 15.564775438232552 16.366772428185097 75.98858627371648 123.53016332701603 148.2674733457438 157.23792082792107 162.87434587983108 166.91255280247145 158.95101682883035 142.71203073453876 118.6401219359419 55.78569340627219 16.621079884745487
602 1.5383645419582634 2.9034100524623425 14.12992892198342 76.88745980707394 123.530163327016 141.14494672467052 152.6826807893576 159.6053212281697 160.46179556608567 157.68236555072187 140.0373742013614 110.91026400406162 52.155802396959956 15.665845408610679 17.807581655102382 79.3598747673041 130.3763949309627 151.91349851837847 165.3741882605132 166.7202572347267 170.68205532250164 164.60500598953413 146.91381375701403 118.06947859529666 54.19698764596378 16.047939199064608 17.340985072719924 82.22354719873935 133.66197483017822 158.91331020477236 168.1491024467111 175.3735577832419 178.25799129941362 171.91223756383587 154.17484444815636 127.42827911638203 59.79767820603834 17.003173675199406
652 1.7306601097030465 3.2690246516613115 15.484853613132517 84.70942402727721 134.05165988799217 152.6826807893575 164.7973015572789 171.71994199609102 173.23679979691994 169.98928188638794 152.29808965386795 119.0309564340206 57.1117836202005 17.194220570426364 19.356067016415636 86.70492536359957 140.37576445369146 162.48975474434144 177.10421789294494 179.60406027362708 182.56744958582652 176.7196267574554 157.80473545746858 127.68425698253574 57.88096589117962 17.576314360880282 17.925512659440813 88.84819318157619 143.18327974276522 170.48721279359467 181.0087093545708 188.06506525439755 190.9494987705693 184.2191538995019 164.6824236856391 137.29903536977488 63.84212849126791 18.460374503499146
702 1.548485361313252 3.6536157871508723 16.25909629378913 90.83061783810615 142.62473115989863 161.62567336200775 177.68869521069553 184.41144946724677 184.41144946724668 181.11245667515763 162.77195473336957 128.1371636486715 60.179771996492285 17.958408151334197 20.323870367236417 91.55419698764595 149.99054284093057 174.41207994451796 188.8342475253767 191.52638547380363 194.25800132024443 187.99014490332826 168.1212677997244 135.95296639556142 61.72687724607528 18.149455046561158 19.679095419603506 94.10894146206425 152.1720150763399 181.36634794381447 191.23794212218652 198.25673034487116 202.29493726751147 193.91259865536398 175.1900029231219 144.0690799709574 67.82164780557063 19.104689522695953
753 1.3460689742134806 3.247797218858315 17.226899644609915 96.1093247588424 151.94512607886273 174.79667108000754 188.06506525439764 195.9491835319336 196.14147909967852 193.14841107445608 172.8974401803984 135.37607969232707 63.77761642983094 18.340501941788116 21.485234388221357 97.94169910306312 160.95139020238327 183.78711320833506 200.40819309308057 204.21789294495932 206.3356743949907 198.16616533554617 178.235660201224 145.18315364731097 65.18819746548135 18.722595732242038 20.191034613202202 100.07086647486881 161.04247757657808 191.33408990605892 204.40006769334911 210.34263164488246 213.1614977699409 207.4769282164781 185.638419251115 154.12923970542477 71.18037547972204 19.8688771036038
803 1.910468952269597 3.461320219406093 19.356067016415636 102.2923276761568 163.08319669513 185.56522287371538 202.6580216618717 206.90378753079725 211.17469114909463 205.18436547375458 184.16920699878898 146.13830597393803 68.77688228170545 19.868877103603793 22.646598409206298 104.82528055194736 170.3738730218776 196.5260702351681 213.01728817805994 218.25546939032841 220.75658525159173 211.67995991147114 189.70956696037086 154.41334089906064 69.99558665910097 20.25097089405772 21.485234388221365 107.16339089883094 172.63048061157127 203.06411953849073 216.01370790319845 222.7606798346349 227.5368522153088 218.36660124441474 197.7335365599031 164.87347058086607 76.41875809078383 21.537103587415682
853 1.1462813713617532 3.8209379045391887 19.806443477712623 108.52728860117972 172.43563808266435 196.14147909967843 211.52512451926106 218.93974193009566 222.0140886782873 217.48628711934936 194.48573934104476 152.6826807893576 71.74981848355979 20.824111579738585 23.033719749534605 109.55533931291254 179.01094082766107 205.75750615943548 224.09800810122354 227.72789911053587 231.11144017600267 223.33382052031578 199.6846800124469 163.0666414475758 73.07231574301746 20.63306468451163 22.646598409206298 112.81382423713292 181.00870935457078 212.2943067902402 228.55028640787035 235.1774793518694 237.85338455756468 230.40255564371327 207.66797511170503 173.27953397085233 80.62178978577693 22.3062858583948
903 1.3460689742134813 3.6536157871508776 21.237835650859232 115.52733118971064 182.95713464364047 208.44839543534448 225.6917414114063 234.01485022846504 235.56461744852118 229.21631675178116 207.29462202887595 162.78452360805548 76.22771119555686 21.53710358741567 24.550158642277637 116.90551734417926 191.23794212218652 217.48628711934933 236.133962500522 241.3309375197024 246.15755627009642 235.36977491961414 211.29786612101728 172.48912426707014 77.11052266565794 21.92169472290524 23.614401760027086 117.6848874598071 191.53020591554696 224.98581426139583 240.01523100355396 248.4458735262593 254.4070361263476 242.24746314778469 219.1307888253226 184.2191538995019 84.44272769031612 23.227280419698765
953 1.7306601097030465 4.011984799766155 22.646598409206305 123.41116554090505 192.30957603117477 222.78833135894396 239.04742765273312 245.4952603666431 245.1768488745982 241.86536935733076 217.220319873053 170.95075972511188 81.34102515604312 22.734580532008188 25.890675241157563 122.94563574029513 200.91597563039437 231.6921221864952 249.98423806821773 256.274327297343 257.0485699779996 247.4057293189126 224.98581426139583 181.94702995430703 81.91791185927748 23.116674322462114 25.71921381571943 125.28374608717871 201.46717488980215 237.10043502931714 254.46434275249675 261.3296765651599 262.5132247692148 254.85655823276403 229.63836806280534 192.19317659832134 89.60973456906876 24.42153710358743
1003 1.719422057042638 3.4388441140852746 23.420841089862922 128.08038585209005 201.3030969707226 231.33156799697383 248.83046466174903 257.8683563457537 256.52228737154024 254.7916272618372 227.72789911053576 179.41176470588232 84.63377458554307 22.967534488123643 26.693426460254248 129.57028172313198 209.21757770632368 240.75405081646804 263.06033667486287 266.1283250511548 272.7795404697515 260.2058712991189 234.41454044347938 188.945379379463 85.37923207868359 23.498768112916032 26.130690472161103 129.6072126599836 208.85196310712473 248.83046466174903 263.4449278103524 272.4328725936444 276.1798568613214 267.46565331774343 241.29222867164995 198.5457940047713 92.65774418507537 24.99842380682178
1053 1.5383645419582643 3.247797218858316 24.001523100355392 134.55305466237945 212.18351397968524 242.86930206166073 261.69402606193944 267.2746064225164 269.63001353866986 265.3641374702469 237.66233766233773 187.2958829834184 88.45471249008226 23.689815008142993 27.667639104789085 134.63618747471304 219.21694722905238 252.40311389405997 273.25200176533633 277.48250425572166 280.46941106786267 270.5224036413747 243.5847914143735 198.64132148036057 88.84055229808968 24.106420495799203 26.90493315281774 136.97429782159662 218.33643594516838 259.37129801996963 275.8239549839228 283.251371288065 289.0539524783898 277.4000918695453 251.22666722345184 209.19635027352075 97.2428696705224 25.7676060778009
1103 0.9614778387239152 3.0567503236313507 25.134686228998536 140.6334405144695 222.89985306956834 253.4455582876237 275.24327297343046 282.09759788159636 285.2494623197973 278.4439820944456 248.7430575855013 196.526070235168 92.08460349939449 24.262955693823866 27.862481633696042 141.26083345754984 228.4471344808019 264.40387544423754 282.3673111454462 288.63564718491904 295.3812738229595 285.7512136687473 255.429698918445 205.56645926420853 93.07105478847485 25.218190169958664 28.06629717380269 142.81957368880558 227.82090878321202 268.44461257171685 287.39273013777387 296.32746989471036 299.17943792541865 291.52008070109065 261.35215267048073 220.17842506777637 101.25485447028855 26.152197213290467
1154 2.3075468129373964 4.2030316949931095 26.888268989161233 147.69453376205792 231.47292434147485 264.98455745473007 284.14706380098164 295.37358267050257 298.49875428547085 287.6741693461952 260.014824403892 205.94855305466243 96.6697289848415 26.364471541320423 30.20578778135048 148.8713826366559 238.06191286804108 273.05970619759165 295.9428787592207 302.14820612624806 303.1160094770688 294.21221864951764 264.9820436797929 216.33251371288063 98.07073954983922 26.729083916524804 29.810906922765707 148.84815535623628 239.65631055556736 281.82433575901166 296.53494669148756 307.4806128239076 310.4512047438093 298.6062972397379 271.52134165563325 227.34580532008184 107.49322236933364 28.267448458483067
1204 1.9229556774478294 3.8209379045391945 27.862481633696042 154.75562700964628 239.82167033338973 274.79036630729456 296.13517432696545 307.2883172561629 310.08419360297864 302.2886324947987 272.8674106298469 214.6018536031776 101.0638075750616 26.763821180375476 31.174804625114454 153.7307553075957 249.59964693272804 284.5974402622785 308.5407357915397 311.2153923247172 319.7622271111864 308.3496888963128 277.97323255522616 226.3318832356095 101.06380757506163 26.74656533177434 30.1954645456084 155.4292181418176 248.14477915044856 290.3663072946221 309.30995092232195 318.28412744811465 326.4991439428739 315.55702666918853 282.7494049359001 238.44650400353063 110.23405854595563 28.65203959397263
